Relation,Genre,Datasource,Itemid,SemClass,Arg1_RawText,Arg2_RawText
implicit ,europarl,europarl-cs-en-ep-07-09-03-016,cs_en_batch_01_item_01,arg2-as-detail," Allow me to make a few general comments on European solidarity, on the Solidarity Fund and on some events that may provide lessons for the future.","In 2002 I had the experience of leading a country that was struck by terrible floods, together with the Federal Republic of Germany and Austria. It was the scale of that disaster that provided the incentive for the creation of the Solidarity Fund."
implicit ,europarl,europarl-cs-en-ep-07-09-03-016,cs_en_batch_01_item_02,result,"Allow me to make a few general comments on European solidarity, on the Solidarity Fund and on some events that may provide lessons for the future. In 2002 I had the experience of leading a country that was struck by terrible floods, together with the Federal Republic of Germany and Austria.",It was the scale of that disaster that provided the incentive for the creation of the Solidarity Fund. The disaster occurred in August and the first payments were received by the Czech Republic the following January.
implicit ,europarl,europarl-cs-en-ep-07-09-03-016,cs_en_batch_01_item_03,arg2-as-detail,"In 2002 I had the experience of leading a country that was struck by terrible floods, together with the Federal Republic of Germany and Austria. It was the scale of that disaster that provided the incentive for the creation of the Solidarity Fund.","The disaster occurred in August and the first payments were received by the Czech Republic the following January. I can say without hesitation that it was incredibly fast: starting from zero, formulating a political concept, setting up the structure and putting the aid into practice."
implicit ,europarl,europarl-cs-en-ep-07-09-03-016,cs_en_batch_01_item_04,result,It was the scale of that disaster that provided the incentive for the creation of the Solidarity Fund. The disaster occurred in August and the first payments were received by the Czech Republic the following January.,"I can say without hesitation that it was incredibly fast: starting from zero, formulating a political concept, setting up the structure and putting the aid into practice. That aid was significant and it was very much appreciated in our country."
implicit ,europarl,europarl-cs-en-ep-07-09-03-016,cs_en_batch_01_item_05,result,"I can say without hesitation that it was incredibly fast: starting from zero, formulating a political concept, setting up the structure and putting the aid into practice. That aid was significant and it was very much appreciated in our country.","I have been aware ever since of the importance of solidarity, not just on financial terms, but also in general. I will never forget those Danish and French fire-fighters and the many people from all other parts of Europe who played their part in helping us to cope with that disaster."
implicit ,europarl,europarl-cs-en-ep-07-09-03-016,cs_en_batch_01_item_06,result,"I have been aware ever since of the importance of solidarity, not just on financial terms, but also in general. I will never forget those Danish and French fire-fighters and the many people from all other parts of Europe who played their part in helping us to cope with that disaster.","My experience made me realise that no matter how well organised a country may be, there will always be disasters that go beyond its own borders. "
implicit ,europarl,europarl-cs-en-ep-07-09-03-017,cs_en_batch_01_item_07,conjunction, I would like to comment briefly on Mr Gargani's report. I believe that the report is very good on the whole and I therefore recommend that the House adopt it.,"I fully agree with the proposal that the strategy of simplifying the legal environment should have political priority. In that regard, however, I believe that it is necessary to strengthen the role of the European Parliament in the legislative process."
implicit ,europarl,europarl-cs-en-ep-07-09-03-017,cs_en_batch_01_item_08,arg2-as-detail,"I fully agree with the proposal that the strategy of simplifying the legal environment should have political priority. In that regard, however, I believe that it is necessary to strengthen the role of the European Parliament in the legislative process.","What I have in mind here is that Parliament should have the same law-making initiative as the Commission, which would undoubtedly have a positive effect on the process of simplifying and improving the quality of the legal environment in Europe. I would also like to voice my reservations regarding the targets set by the Commission, which stipulate that not only Community but also national legislation should be reduced by 25% by the year 2012.  The schedule of simplification for the years 2006-2009 provides for 43 revisions, 12 codifications, 26 other measures and 8 repeals.  But at the same time 500 new legislative initiatives are expected in the area of codifications alone."
implicit ,europarl,europarl-cs-en-ep-07-09-03-017,cs_en_batch_01_item_09,result,"I would also like to voice my reservations regarding the targets set by the Commission, which stipulate that not only Community but also national legislation should be reduced by 25% by the year 2012.  The schedule of simplification for the years 2006-2009 provides for 43 revisions, 12 codifications, 26 other measures and 8 repeals. But at the same time 500 new legislative initiatives are expected in the area of codifications alone.",This makes me think that the Commission's plans for reduction in the secondary Community legislation are not realistic. 
implicit ,europarl,europarl-cs-en-ep-07-09-03-018,cs_en_batch_01_item_10,conjunction,"It is a system, a unique system, whose great advantage lies in combining a network comprising over 800 qualified advisers with an efficient portal, facilitating easy data access and interactive data exchange.  Since 2006 the EURES portal has offered easy access to all of the job offers in the European Union as well as to the national public employment services in the countries belonging to the European Economic Area in 25 European languages.  On average the portal offers access to more than 1 200 000 offers. At the same time the EURES advisers are on hand to help workers and their families who are planning to make use of the opportunities that mobility offers.",I would now like to answer your questions one by one. I will start with your first question concerning the possible expansion of EURES to third-country nationals.
