itemid,datasource,genre,subgenre,orig_lang,split,10fold_split
Animal_Farm_EN_batch_01_item_01,Animal_Farm_EN_paragraph_01,novel,,English,train,6
Animal_Farm_EN_batch_01_item_02,Animal_Farm_EN_paragraph_01,novel,,English,train,1
Animal_Farm_EN_batch_01_item_03,Animal_Farm_EN_paragraph_01,novel,,English,train,9
Animal_Farm_EN_batch_01_item_04,Animal_Farm_EN_paragraph_01,novel,,English,train,3
Animal_Farm_EN_batch_01_item_05,Animal_Farm_EN_paragraph_01,novel,,English,train,2
Animal_Farm_EN_batch_01_item_06,Animal_Farm_EN_paragraph_01,novel,,English,test,7
Animal_Farm_EN_batch_01_item_07,Animal_Farm_EN_paragraph_01,novel,,English,dev,5
Animal_Farm_EN_batch_01_item_08,Animal_Farm_EN_paragraph_02,novel,,English,train,3
Animal_Farm_EN_batch_01_item_09,Animal_Farm_EN_paragraph_02,novel,,English,train,9
Animal_Farm_EN_batch_01_item_10,Animal_Farm_EN_paragraph_02,novel,,English,train,8
Animal_Farm_EN_batch_01_item_11,Animal_Farm_EN_paragraph_03,novel,,English,train,6
Animal_Farm_EN_batch_01_item_12,Animal_Farm_EN_paragraph_03,novel,,English,train,5
Animal_Farm_EN_batch_01_item_13,Animal_Farm_EN_paragraph_03,novel,,English,train,9
Animal_Farm_EN_batch_01_item_14,Animal_Farm_EN_paragraph_04,novel,,English,dev,9
Animal_Farm_EN_batch_01_item_15,Animal_Farm_EN_paragraph_04,novel,,English,test,4
Animal_Farm_EN_batch_01_item_16,Animal_Farm_EN_paragraph_04,novel,,English,train,0
Animal_Farm_EN_batch_01_item_17,Animal_Farm_EN_paragraph_04,novel,,English,train,8
Animal_Farm_EN_batch_01_item_18,Animal_Farm_EN_paragraph_04,novel,,English,train,5
Animal_Farm_EN_batch_01_item_19,Animal_Farm_EN_paragraph_05,novel,,English,train,9
Animal_Farm_EN_batch_01_item_20,Animal_Farm_EN_paragraph_05,novel,,English,train,6
Animal_Farm_EN_batch_02_item_01,Animal_Farm_EN_paragraph_05,novel,,English,train,3
Animal_Farm_EN_batch_02_item_02,Animal_Farm_EN_paragraph_06,novel,,English,test,9
Animal_Farm_EN_batch_02_item_03,Animal_Farm_EN_paragraph_06,novel,,English,train,0
Animal_Farm_EN_batch_02_item_04,Animal_Farm_EN_paragraph_06,novel,,English,train,2
Animal_Farm_EN_batch_02_item_05,Animal_Farm_EN_paragraph_06,novel,,English,train,7
Animal_Farm_EN_batch_02_item_06,Animal_Farm_EN_paragraph_06,novel,,English,dev,5
Animal_Farm_EN_batch_02_item_07,Animal_Farm_EN_paragraph_07,novel,,English,train,5
Animal_Farm_EN_batch_02_item_08,Animal_Farm_EN_paragraph_07,novel,,English,test,4
Animal_Farm_EN_batch_02_item_09,Animal_Farm_EN_paragraph_07,novel,,English,dev,0
Animal_Farm_EN_batch_02_item_10,Animal_Farm_EN_paragraph_07,novel,,English,train,3
Animal_Farm_EN_batch_02_item_11,Animal_Farm_EN_paragraph_07,novel,,English,train,7
Animal_Farm_EN_batch_02_item_12,Animal_Farm_EN_paragraph_07,novel,,English,train,9
Animal_Farm_EN_batch_02_item_13,Animal_Farm_EN_paragraph_08,novel,,English,dev,9
Animal_Farm_EN_batch_02_item_14,Animal_Farm_EN_paragraph_08,novel,,English,test,4
Animal_Farm_EN_batch_02_item_15,Animal_Farm_EN_paragraph_08,novel,,English,train,0
Animal_Farm_EN_batch_02_item_16,Animal_Farm_EN_paragraph_08,novel,,English,train,3
Animal_Farm_EN_batch_02_item_17,Animal_Farm_EN_paragraph_08,novel,,English,train,5
Animal_Farm_EN_batch_02_item_18,Animal_Farm_EN_paragraph_08,novel,,English,train,1
Animal_Farm_EN_batch_02_item_19,Animal_Farm_EN_paragraph_08,novel,,English,train,2
Animal_Farm_EN_batch_02_item_20,Animal_Farm_EN_paragraph_08,novel,,English,train,7
Animal_Farm_EN_batch_03_item_01,Animal_Farm_EN_paragraph_08,novel,,English,train,8
Animal_Farm_EN_batch_03_item_02,Animal_Farm_EN_paragraph_08,novel,,English,train,6
Animal_Farm_EN_batch_03_item_03,Animal_Farm_EN_paragraph_09,novel,,English,test,3
Animal_Farm_EN_batch_03_item_04,Animal_Farm_EN_paragraph_09,novel,,English,train,9
Animal_Farm_EN_batch_03_item_05,Animal_Farm_EN_paragraph_09,novel,,English,train,8
Animal_Farm_EN_batch_03_item_06,Animal_Farm_EN_paragraph_09,novel,,English,dev,6
Animal_Farm_EN_batch_03_item_07,Animal_Farm_EN_paragraph_10,novel,,English,train,5
Animal_Farm_EN_batch_03_item_08,Animal_Farm_EN_paragraph_10,novel,,English,train,2
Animal_Farm_EN_batch_03_item_09,Animal_Farm_EN_paragraph_10,novel,,English,train,1
Animal_Farm_EN_batch_03_item_10,Animal_Farm_EN_paragraph_10,novel,,English,train,0
Animal_Farm_EN_batch_03_item_11,Animal_Farm_EN_paragraph_10,novel,,English,train,7
Animal_Farm_EN_batch_03_item_12,Animal_Farm_EN_paragraph_10,novel,,English,test,3
Animal_Farm_EN_batch_03_item_13,Animal_Farm_EN_paragraph_10,novel,,English,dev,6
Animal_Farm_EN_batch_03_item_14,Animal_Farm_EN_paragraph_10,novel,,English,train,4
Animal_Farm_EN_batch_03_item_15,Animal_Farm_EN_paragraph_12,novel,,English,test,2
Animal_Farm_EN_batch_03_item_16,Animal_Farm_EN_paragraph_12,novel,,English,dev,7
Animal_Farm_EN_batch_03_item_17,Animal_Farm_EN_paragraph_12,novel,,English,train,4
Animal_Farm_EN_batch_03_item_18,Animal_Farm_EN_paragraph_12,novel,,English,train,3
Animal_Farm_EN_batch_03_item_19,Animal_Farm_EN_paragraph_13,novel,,English,train,2
Animal_Farm_EN_batch_03_item_20,Animal_Farm_EN_paragraph_13,novel,,English,train,9
Animal_Farm_EN_batch_04_item_01,Animal_Farm_EN_paragraph_13,novel,,English,dev,0
Animal_Farm_EN_batch_04_item_02,Animal_Farm_EN_paragraph_13,novel,,English,test,7
Animal_Farm_EN_batch_04_item_03,Animal_Farm_EN_paragraph_13,novel,,English,train,3
Animal_Farm_EN_batch_04_item_04,Animal_Farm_EN_paragraph_13,novel,,English,train,5
Animal_Farm_EN_batch_04_item_05,Animal_Farm_EN_paragraph_14,novel,,English,train,4
Animal_Farm_EN_batch_04_item_06,Animal_Farm_EN_paragraph_14,novel,,English,train,6
Animal_Farm_EN_batch_04_item_07,Animal_Farm_EN_paragraph_14,novel,,English,train,5
Animal_Farm_EN_batch_04_item_08,Animal_Farm_EN_paragraph_14,novel,,English,train,3
Animal_Farm_EN_batch_04_item_09,Animal_Farm_EN_paragraph_14,novel,,English,dev,1
Animal_Farm_EN_batch_04_item_10,Animal_Farm_EN_paragraph_14,novel,,English,test,7
Animal_Farm_EN_batch_04_item_11,Animal_Farm_EN_paragraph_15,novel,,English,dev,2
Animal_Farm_EN_batch_04_item_12,Animal_Farm_EN_paragraph_15,novel,,English,train,4
Animal_Farm_EN_batch_04_item_13,Animal_Farm_EN_paragraph_15,novel,,English,train,1
Animal_Farm_EN_batch_04_item_14,Animal_Farm_EN_paragraph_15,novel,,English,train,9
Animal_Farm_EN_batch_04_item_15,Animal_Farm_EN_paragraph_15,novel,,English,test,5
Animal_Farm_EN_batch_04_item_16,Animal_Farm_EN_paragraph_17,novel,,English,test,9
Animal_Farm_EN_batch_04_item_17,Animal_Farm_EN_paragraph_17,novel,,English,dev,1
Animal_Farm_EN_batch_04_item_18,Animal_Farm_EN_paragraph_17,novel,,English,train,5
Animal_Farm_EN_batch_04_item_19,Animal_Farm_EN_paragraph_17,novel,,English,train,2
Animal_Farm_EN_batch_04_item_20,Animal_Farm_EN_paragraph_17,novel,,English,train,8
Animal_Farm_EN_batch_05_item_01,Animal_Farm_EN_paragraph_17,novel,,English,train,7
Animal_Farm_EN_batch_05_item_02,Animal_Farm_EN_paragraph_17,novel,,English,train,3
Animal_Farm_EN_batch_05_item_03,Animal_Farm_EN_paragraph_17,novel,,English,train,6
Animal_Farm_EN_batch_05_item_04,Animal_Farm_EN_paragraph_17,novel,,English,train,0
Animal_Farm_EN_batch_05_item_05,Animal_Farm_EN_paragraph_17,novel,,English,train,4
Animal_Farm_EN_batch_05_item_06,Animal_Farm_EN_paragraph_18,novel,,English,train,9
Animal_Farm_EN_batch_05_item_07,Animal_Farm_EN_paragraph_18,novel,,English,train,2
Animal_Farm_EN_batch_05_item_08,Animal_Farm_EN_paragraph_18,novel,,English,train,5
Animal_Farm_EN_batch_05_item_09,Animal_Farm_EN_paragraph_18,novel,,English,train,8
Animal_Farm_EN_batch_05_item_10,Animal_Farm_EN_paragraph_18,novel,,English,dev,3
Animal_Farm_EN_batch_05_item_11,Animal_Farm_EN_paragraph_18,novel,,English,test,4
Animal_Farm_EN_batch_05_item_12,Animal_Farm_EN_paragraph_18,novel,,English,train,1
Animal_Farm_EN_batch_05_item_13,Animal_Farm_EN_paragraph_18,novel,,English,train,0
Animal_Farm_EN_batch_05_item_14,Animal_Farm_EN_paragraph_18,novel,,English,train,7
Animal_Farm_EN_batch_05_item_15,Animal_Farm_EN_paragraph_18,novel,,English,train,6
Animal_Farm_EN_batch_05_item_16,Animal_Farm_EN_paragraph_19,novel,,English,train,5
Animal_Farm_EN_batch_05_item_17,Animal_Farm_EN_paragraph_19,novel,,English,train,6
Animal_Farm_EN_batch_05_item_18,Animal_Farm_EN_paragraph_19,novel,,English,train,9
Animal_Farm_EN_batch_05_item_19,Animal_Farm_EN_paragraph_19,novel,,English,train,2
Animal_Farm_EN_batch_05_item_20,Animal_Farm_EN_paragraph_19,novel,,English,train,3
Animal_Farm_EN_batch_06_item_01,Animal_Farm_EN_paragraph_19,novel,,English,dev,0
Animal_Farm_EN_batch_06_item_02,Animal_Farm_EN_paragraph_19,novel,,English,test,7
Animal_Farm_EN_batch_06_item_03,Animal_Farm_EN_paragraph_20,novel,,English,train,6
Animal_Farm_EN_batch_06_item_04,Animal_Farm_EN_paragraph_21,novel,,English,train,1
Animal_Farm_EN_batch_06_item_05,Animal_Farm_EN_paragraph_21,novel,,English,train,5
Animal_Farm_EN_batch_06_item_06,Animal_Farm_EN_paragraph_21,novel,,English,test,3
Animal_Farm_EN_batch_06_item_07,Animal_Farm_EN_paragraph_21,novel,,English,dev,2
Animal_Farm_EN_batch_06_item_08,Animal_Farm_EN_paragraph_22,novel,,English,dev,4
Animal_Farm_EN_batch_06_item_09,Animal_Farm_EN_paragraph_22,novel,,English,train,4
Animal_Farm_EN_batch_06_item_10,Animal_Farm_EN_paragraph_22,novel,,English,train,8
Animal_Farm_EN_batch_06_item_11,Animal_Farm_EN_paragraph_22,novel,,English,train,8
Animal_Farm_EN_batch_06_item_12,Animal_Farm_EN_paragraph_22,novel,,English,train,0
Animal_Farm_EN_batch_06_item_13,Animal_Farm_EN_paragraph_22,novel,,English,train,0
Animal_Farm_EN_batch_06_item_14,Animal_Farm_EN_paragraph_22,novel,,English,train,5
Animal_Farm_EN_batch_06_item_15,Animal_Farm_EN_paragraph_22,novel,,English,train,5
Animal_Farm_EN_batch_06_item_16,Animal_Farm_EN_paragraph_22,novel,,English,test,1
Animal_Farm_EN_batch_06_item_17,Animal_Farm_EN_paragraph_22,novel,,English,test,1
Animal_Farm_EN_batch_06_item_18,Animal_Farm_EN_paragraph_22,novel,,English,dev,3
Animal_Farm_EN_batch_06_item_19,Animal_Farm_EN_paragraph_23,novel,,English,train,5
Animal_Farm_EN_batch_06_item_20,Animal_Farm_EN_paragraph_23,novel,,English,train,4
Animal_Farm_EN_batch_07_item_01,Animal_Farm_EN_paragraph_23,novel,,English,train,9
Animal_Farm_EN_batch_07_item_02,Animal_Farm_EN_paragraph_24,novel,,English,dev,7
