instance_id	question_start	level-2	level-3	question	answer	sent_q
original_en_batch_31_item_01	What is the reason	Contingency.Cause	RESULT	What is the reason _ that, if you are intending to postpone it to 5.30 p.m., it will totally distort the vote on this report	It is unreasonable at this stage to postpone it to a time when a lot of people will have left.	sent2
original_en_batch_31_item_01	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that It is unreasonable at this stage to postpone it to a time when a lot of people will have left	If you are intending to postpone it to 5.30 p.m., it will totally distort the vote on this report.	sent1
original_en_batch_31_item_01	What is the reason	Contingency.Cause	REASON	What is the reason _ it is unreasonable at this stage to postpone it to a time when a lot of people will have left	If you are intending to postpone it to 5.30 p.m., it will totally distort the vote on this report.	sent1
original_en_batch_31_item_01	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what is It unreasonable at this stage to postpone it to a time when a lot of people will have left.	If you are intending to postpone it to 5.30 p.m., it will totally distort the vote on this report.	sent1
original_en_batch_31_item_01	What is the reason	Contingency.Cause	RESULT	What is the reason _ it will totally distort the vote on this report.	It is unreasonable at this stage to postpone it to a time when a lot of people will have left.	sent2
original_en_batch_31_item_01	What is the reason	Contingency.Cause	REASON	What is the reason _ it is unreasonable at this stage to postpone it to a time when a lot of people will have left	If you are intending to postpone it to 5.30 p.m., it will totally distort the vote on this report.	sent1
original_en_batch_31_item_01	What is the result of	Contingency.Cause	RESULT	What is the result of the fact that It is unreasonable at this stage to postpone it	If you are intending to postpone it to 5.30 p.m., it will totally distort the vote on this report.	sent1
original_en_batch_31_item_01	What is the reason	Contingency.Cause	RESULT	What is the reason _ it will totally distort the vote on this report	It is unreasonable at this stage to postpone it to a time when a lot of people will have left.	sent2
original_en_batch_31_item_01	What is the reason	Contingency.Cause	REASON	What is the reason _ it is unreasonable at this stage to postpone it to a time when a lot of people will have left	If you are intending to postpone it to 5.30 p.m., it will totally distort the vote on this report.	sent1
original_en_batch_31_item_01	What is the result of	Contingency.Cause	RESULT	What is the result of _ postponing the vote to a time when a lot of people will have left.	If you are intending to postpone it to 5.30 p.m., it will totally distort the vote on this report.	sent1
﻿original_en_batch_01_item_01	What is the result of	Contingency.Cause	RESULT	What is the result of _ a number of bomb explosions and killings in Sri Lanka., you will be aware from the press and televisio	One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.	sent1
﻿original_en_batch_01_item_01	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ there have been a number of bomb explosions and killings in Sri Lanka.	One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.	sent1
