itemid	datasource	genre	subgenre	orig_lang	speaker_id	reflabel	observations	maxagree	majority_softlabel	majoritylabel_sampled	majority_distrlabel20	majority_distrlabel40	arg1	arg2	sent1	sent2
original_en_batch_01_item_01	europarl-original-en-ep-00-01-17.txt	europarl	NA	English	<SPEAKER ID=2 NAME=\"Evans, Robert J\">	NA	12	0.3333333333	synchronous:0; precedence:0; succession:0; reason:0; result:0.25; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.08333333333333333; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.3333333333333333; arg1-as-detail:0; arg2-as-detail:0.3333333333333333; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-instance	result;arg2-as-detail;arg2-as-instance	arg2-as-instance	Madam President, on a point of order. You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.	One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.	You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.	One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.
original_en_batch_01_item_06	europarl-original-en-ep-00-01-17.txt	europarl	NA	English	<SPEAKER ID=40 NAME=\"Simpson\">	NA	12	0.4166666667	synchronous:0; precedence:0; succession:0; reason:0; result:0.4166666666666667; arg1-as-cond:0.08333333333333333; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0.16666666666666666; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.3333333333333333; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	arg1-as-detail;result	result	Madam President, first of all I should like to thank Mr Koch for his report which has, at its heart, the issue of transport safety. The report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation of dangerous goods by road, rail and inland waterway.	I congratulate him on his excellent report.	The report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation of dangerous goods by road, rail and inland waterway.	I congratulate him on his excellent report.
original_en_batch_01_item_07	europarl-original-en-ep-00-01-17.txt	europarl	NA	English	<SPEAKER ID=62 NAME=\"McCarthy\">	NA	12	0.8333333333	synchronous:0; precedence:0; succession:0; reason:0.8333333333333334; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.08333333333333333; arg1-as-denier:0.08333333333333333; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	reason	reason	Mr President, it is incumbent upon me to remind my colleague, Mr Evans, of why Wales actually achieved Objective 1 status.	It was because of the discredited policies of his own Conservative Party. Let me also remind him that when his party leader, Mr Hague, was Secretary of State for Wales, he broke every rule in the book on additionality which led to a stern letter from Commissioner Wulf- Mathies regarding regulatory requirements.	Mr President, it is incumbent upon me to remind my colleague, Mr Evans, of why Wales actually achieved Objective 1 status.	It was because of the discredited policies of his own Conservative Party.
original_en_batch_01_item_15	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=6 NAME=\"Ahern\">	NA	12	0.4166666667	synchronous:0; precedence:0; succession:0.08333333333333333; reason:0; result:0.4166666666666667; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.16666666666666666; disjunction:0; arg1-as-instance:0.08333333333333333; arg2-as-instance:0; arg1-as-detail:0.25; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	result;arg1-as-detail	result	Mr President, regarding Mrs Lynne's comments yesterday about health and safety in this building, I presume she was talking about the drains because there is a dreadful smell of drains on the fifth floor in the Tower.	This needs to be looked into because it is clearly an indication that something is seriously wrong. I do not want to drag up the issue of this building endlessly, but this is a serious problem.	Mr President, regarding Mrs Lynne's comments yesterday about health and safety in this building, I presume she was talking about the drains because there is a dreadful smell of drains on the fifth floor in the Tower.	This needs to be looked into because it is clearly an indication that something is seriously wrong.
original_en_batch_01_item_16	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=6 NAME=\"Ahern\">	NA	12	0.1666666667	synchronous:0.08333333333333333; precedence:0.08333333333333333; succession:0.08333333333333333; reason:0.16666666666666666; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.08333333333333333; arg1-as-denier:0.16666666666666666; arg2-as-denier:0.08333333333333333; contrast:0.08333333333333333; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.16666666666666666; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-detail	arg2-as-detail	arg2-as-detail	Mr President, regarding Mrs Lynne's comments yesterday about health and safety in this building, I presume she was talking about the drains because there is a dreadful smell of drains on the fifth floor in the Tower. This needs to be looked into because it is clearly an indication that something is seriously wrong.	I do not want to drag up the issue of this building endlessly, but this is a serious problem.	This needs to be looked into because it is clearly an indication that something is seriously wrong.	I do not want to drag up the issue of this building endlessly, but this is a serious problem.
original_en_batch_01_item_19	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=28 NAME=\"Evans, Jonathan\">	NA	12	0.6666666667	synchronous:0; precedence:0; succession:0.08333333333333333; reason:0.6666666666666666; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.16666666666666666; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.08333333333333333; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	reason	reason	Mr President, for British Conservatives the efficient and uniform application of European competition policy is at the core of achieving an effective single market across the whole of the European Union. It therefore follows that any proposal which suggests major reform of the machinery for competition policy enforcement must be closely and carefully examined.	The truth is that the single market is not yet complete.	It therefore follows that any proposal which suggests major reform of the machinery for competition policy enforcement must be closely and carefully examined.	The truth is that the single market is not yet complete.
original_en_batch_02_item_01	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=58 NAME=\"McKenna\">	NA	12	0.25	synchronous:0; precedence:0.08333333333333333; succession:0; reason:0.08333333333333333; result:0.08333333333333333; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.08333333333333333; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.25; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.08333333333333333; arg1-as-detail:0; arg2-as-detail:0.25; equivalence:0; arg1-as-manner:0; arg2-as-manner:0.08333333333333333; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	arg2-as-detail;conjunction	conjunction	Mr President, I want to concentrate on the issue of corpus juris.	I would very much like to support what Mrs Morgan said on this issue. Corpus juris is something that was set up without any kind of public debate or public participation.	Mr President, I want to concentrate on the issue of corpus juris.	I would very much like to support what Mrs Morgan said on this issue.
original_en_batch_02_item_02	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=58 NAME=\"McKenna\">	NA	12	0.3333333333	synchronous:0.08333333333333333; precedence:0; succession:0.08333333333333333; reason:0; result:0.3333333333333333; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.25; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.08333333333333333; arg1-as-detail:0.08333333333333333; arg2-as-detail:0.08333333333333333; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	result;conjunction	result	I would very much like to support what Mrs Morgan said on this issue. Corpus juris is something that was set up without any kind of public debate or public participation.	The idea of a European Public Prosecutor on the continental inquisitorial model with overriding jurisdiction throughout EU territories would have a major impact on the traditional systems both in Ireland and the UK. The idea of a single criminal code and the European Public Prosecutor is something which Member States have a right to be informed about.	Corpus juris is something that was set up without any kind of public debate or public participation.	The idea of a European Public Prosecutor on the continental inquisitorial model with overriding jurisdiction throughout EU territories would have a major impact on the traditional systems both in Ireland and the UK.
original_en_batch_02_item_03	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=58 NAME=\"McKenna\">	NA	12	0.3333333333	synchronous:0; precedence:0; succession:0; reason:0.08333333333333333; result:0.16666666666666666; arg1-as-cond:0.08333333333333333; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0.08333333333333333; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0.08333333333333333; conjunction:0.3333333333333333; disjunction:0.08333333333333333; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.08333333333333333; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction	conjunction	Corpus juris is something that was set up without any kind of public debate or public participation. The idea of a European Public Prosecutor on the continental inquisitorial model with overriding jurisdiction throughout EU territories would have a major impact on the traditional systems both in Ireland and the UK.	The idea of a single criminal code and the European Public Prosecutor is something which Member States have a right to be informed about.	The idea of a European Public Prosecutor on the continental inquisitorial model with overriding jurisdiction throughout EU territories would have a major impact on the traditional systems both in Ireland and the UK.	The idea of a single criminal code and the European Public Prosecutor is something which Member States have a right to be informed about.
original_en_batch_02_item_07	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=68 NAME=\"Heaton-Harris\">	NA	12	0.1666666667	synchronous:0.08333333333333333; precedence:0.08333333333333333; succession:0; reason:0; result:0.16666666666666666; arg1-as-cond:0.08333333333333333; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0.08333333333333333; arg2-as-goal:0; arg1-as-denier:0.08333333333333333; arg2-as-denier:0.08333333333333333; contrast:0; similarity:0; conjunction:0.08333333333333333; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.08333333333333333; arg2-as-detail:0; equivalence:0; arg1-as-manner:0.16666666666666666; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg1-as-manner	arg1-as-manner	arg1-as-manner	Mr President, I was not referring to that particular vote but to votes in general. It is obvious that some presidents do not look at the hands, so to speak, but go straight to the electronic voting system.	I was wondering whether this is the correct procedure. I know it takes longer, but should we not always have a show of hands first?	It is obvious that some presidents do not look at the hands, so to speak, but go straight to the electronic voting system.	I was wondering whether this is the correct procedure.
