instance_id	prolific_id	question_start	level-2	level-3	question	answer	sent_q
wiki_052	5a0c4184fe645f0001e9f5dd	What is the result of	Contingency.Cause	RESULT	What is the result of _ In 60 BC, Caesar, Crassus and Pompey formed the First Triumvirate, a political alliance that dominated Roman politics for several years.	Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	sent1
wiki_052	5c33668916da980001530dab	What is the result of	Contingency.Cause	RESULT	What is the result of _ Caesar, Crassus and Pompey forming the First Triumvirate	Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	sent1
wiki_052	5e110747dc265f7d25341439	After what	Temporal.Asynchronous	SUCCESSION	After what did Caesar, Crassus and Pompey formed the First Triumvirate	Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	sent1
wiki_052	5e31a1526ef37a1879a94441	What is contrasted with	Comparison.Contrast	Comparison.Contrast	What is contrasted with the fact that In 60 BC, Caesar, Crassus and Pompey formed the First Triumvirate, a political alliance that dominated Roman politics for several years.	Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	sent1
wiki_052	5e4ead217dd6be000d5a6140	What is the result of	Contingency.Cause	RESULT	What is the result of the fact that In 60 BC, Caesar, Crassus and Pompey formed the First Triumvirate, a political alliance that dominated Roman politics for several years	Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	sent1
wiki_052	603c124974df2e8f9f375fa8	After what	Temporal.Asynchronous	PRECEDENCE	After what were Their attempts to amass power opposed	In 60 BC, Caesar, Crassus and Pompey formed the First Triumvirate, a political alliance that dominated Roman politics for several years.	sent2
wiki_052	606aad87b9f57a82dd447d6a	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on _ In 60 BC, Caesar, Crassus and Pompey formed the First Triumvirate, a political alliance that dominated Roman politics for several years	Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	sent1
wiki_052	60a00380a43a4ac3e0a1c66a	After what	Temporal.Asynchronous	PRECEDENCE	After what were Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	In 60 BC, Caesar, Crassus and Pompey formed the First Triumvirate, a political alliance that dominated Roman politics for several years.	sent2
wiki_052	6123cab48440a3b6bd99effc	What is the result of	Contingency.Cause	RESULT	What is the result of _ the First Triumvirate, a political alliance that dominated Roman politics for several years.	Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	sent1
wiki_052	615047c51e51d08b59307b8f	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that Caesar Crassus and Pompey formed the First Triumvirate	Their attempts to amass power as _ Populares _ were opposed by the _ Optimates _ within the Roman Senate, among them Cato the Younger with the frequent support of Cicero.	sent1
﻿wiki_007	5c33668916da980001530dab	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ knowledge	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	5d0245966e208b0017301561	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that Knowledge is a familiarity, awareness, or understanding of someone or something, such as facts (propositional knowledge), skills (procedural knowledge), or objects (acquaintance knowledge).	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	5e31a1526ef37a1879a94441	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon the fact that knowledge is a familiarity, awareness, or understanding of someone or something	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	5e387f2c0d70ef099d5e5a4f	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that knowledge is a familiarity, awareness, or understanding of someone or something	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	603c124974df2e8f9f375fa8	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what is knowledge a familiarity, awareness, or understanding of someone or something	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	606aad87b9f57a82dd447d6a	What provides more detail on	Expansion.Level-of-detail	ARG2-AS-DETAIL	What provides more detail on the fact that knowledge is a familiarity, awareness, or understanding of someone or something, such as facts (propositional knowledge), skills (procedural knowledge), or objects (acquaintance knowledge)	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	60a00380a43a4ac3e0a1c66a	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon the fact that Knowledge is a familiarity, awareness, or understanding of someone or something	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	60c114f1542c86cb1e3e7c86	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon the fact that knowledge is a familiarity, awareness, or understanding of someone or something, such as facts (propositional knowledge), skills (procedural knowledge), or objects (acquaintance knowledge)	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	6123cab48440a3b6bd99effc	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ that Knowledge is a familiarity, awareness, or understanding of someone or something,	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
﻿wiki_007	615047c51e51d08b59307b8f	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon the fact that Knowledge is a familiarity , awareness , or understanding of someone or something	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent1
wiki_008	5c33668916da980001530dab	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon _ knowledge	The philosophical study of knowledge is called epistemology.	sent1
wiki_008	5d0245966e208b0017301561	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what is The philosophical study of knowledge is called epistemology.	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent2
wiki_008	5e31a1526ef37a1879a94441	What provides more detail on	Expansion.Level-of-detail	ARG1-AS-DETAIL	What provides more detail on _ the study of knowledge	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent2
wiki_008	5e387f2c0d70ef099d5e5a4f	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon the fact that the philosophical study of knowledge is called epistemology	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent2
wiki_008	603c124974df2e8f9f375fa8	In addition to what	Expansion.Conjunction	Expansion.Conjunction	In addition to what can knowledge be acquired in many different ways and from many sources	The philosophical study of knowledge is called epistemology.	sent1
wiki_008	606aad87b9f57a82dd447d6a	What expands upon	Expansion.Conjunction	Expansion.Conjunction	What expands upon the fact that the philosophical study of knowledge is called epistemology	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent2
wiki_008	60a00380a43a4ac3e0a1c66a	What provides more detail on	Expansion.Level-of-detail	ARG1-AS-DETAIL	What provides more detail on _ The philosophical study of knowledge, epistemology	By most accounts, knowledge can be acquired in many different ways and from many sources, including but not limited to perception, reason, memory, testimony, scientific inquiry, education, and practice.	sent2
